Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,51.143333,51.433334,51.056667,51.366669,50.822220,14713500
2023-06-13,51.506668,51.836666,51.356667,51.766666,51.217976,15738900
2023-06-14,51.970001,52.443333,51.869999,52.290001,51.735764,21103200
2023-06-15,52.333332,52.743332,52.326668,52.576668,52.019394,18160500
2023-06-16,52.693333,52.716667,51.759998,51.843334,51.293831,34675800
2023-06-20,51.566666,51.816666,51.293331,51.386665,50.842003,19994400
2023-06-21,51.403332,51.779999,51.119999,51.486668,50.940945,19251000
2023-06-22,51.660000,52.026669,51.493332,51.916668,51.366390,13307400
2023-06-23,51.959999,52.096668,51.673332,51.820000,51.270748,18975000
2023-06-26,51.883331,51.926666,51.439999,51.683334,51.135529,14106300
2023-06-27,51.383331,51.950001,51.353333,51.496666,50.950836,12093600
2023-06-28,51.576668,51.893333,51.546665,51.776669,51.227875,18889800
2023-06-29,51.503334,51.583332,51.046665,51.426666,50.881584,21530400
2023-06-30,51.656666,52.509998,51.593334,52.393333,51.838001,19073100
2023-07-03,52.270000,52.813332,52.110001,52.733334,52.174400,8647500
2023-07-05,52.720001,53.040001,52.446667,52.703335,52.144718,17585400
2023-07-06,52.643333,52.726665,52.290001,52.369999,51.814915,14427000
2023-07-07,51.936668,52.096668,51.150002,51.163334,50.621040,19774800
2023-07-10,51.520000,51.833332,51.439999,51.626667,51.079464,12967800
2023-07-11,51.590000,51.836666,51.286667,51.549999,51.003609,11460900
2023-07-12,51.770000,51.963333,51.606667,51.680000,51.132229,16509900
2023-07-13,51.810001,51.866669,51.230000,51.376667,50.832111,11859600
2023-07-14,51.373333,51.556667,51.193333,51.553333,51.006908,10427400
2023-07-17,51.466667,51.660000,51.273335,51.616669,51.069569,10135200
2023-07-18,51.556667,51.886665,51.286667,51.523335,50.977226,13437300
2023-07-19,51.599998,51.733334,51.250000,51.540001,50.993717,12372900
2023-07-20,51.643333,52.516666,51.633331,52.493332,51.936939,14987700
2023-07-21,52.633331,52.926666,52.480000,52.790001,52.230461,16960500
2023-07-24,52.816666,53.160000,52.520000,53.099998,52.537178,12529800
2023-07-25,53.486668,53.503334,52.759998,53.056667,52.494305,15553800
2023-07-26,53.080002,53.563332,52.980000,53.246666,52.682289,15094200
2023-07-27,53.360001,53.546665,53.043331,53.053333,52.491005,13400400
2023-07-28,53.096668,53.646667,53.096668,53.303333,52.738358,11020200
2023-07-31,53.320000,53.546665,52.970001,53.286667,52.721867,13033200
2023-08-01,53.316666,53.483334,52.986668,53.036667,52.474518,11782500
2023-08-02,52.843334,53.476665,52.843334,53.073334,52.510796,12660000
2023-08-03,53.006668,53.166668,52.836666,53.086666,52.523987,13202700
